model,component_count,components
tigera-operator,22,"APIServer,BGPConfiguration,BGPFilter,BGPPeer,BlockAffinity,CalicoNodeStatus,ClusterInformation,FelixConfiguration,GlobalNetworkPolicy,GlobalNetworkSet,HostEndpoint,IPAMBlock,IPAMConfig,IPAMHandle,IPPool,IPReservation,KubeControllersConfiguration,NetworkPolicy,NetworkSet,ImageSet,Installation,TigeraStatus"
tigera-operator,22,"APIServer,BGPConfiguration,BGPFilter,BGPPeer,BlockAffinity,CalicoNodeStatus,ClusterInformation,FelixConfiguration,GlobalNetworkPolicy,GlobalNetworkSet,HostEndpoint,IPAMBlock,IPAMConfig,IPAMHandle,IPPool,IPReservation,KubeControllersConfiguration,NetworkPolicy,NetworkSet,ImageSet,Installation,TigeraStatus"
kubernetes-external-secrets,1,"ExternalSecret"
kubernetes-external-secrets,1,"ExternalSecret"
base,2,"AuthorizationPolicy,RequestAuthentication"
base,2,"AuthorizationPolicy,RequestAuthentication"
sops-operator,1,"SopsSecret"
sops-operator,1,"SopsSecret"
oam-runtime,1,"ManualScalerTrait"
oam-runtime,1,"ManualScalerTrait"
github-actions-runners,5,"HorizontalRunnerAutoscaler,RunnerDeployment,RunnerReplicaSet,Runner,RunnerSet"
github-actions-runners,5,"HorizontalRunnerAutoscaler,RunnerDeployment,RunnerReplicaSet,Runner,RunnerSet"
kubegems-models,1,"ModelDeployment"
kubegems-models,1,"ModelDeployment"
trident-operator,1,"TridentOrchestrator"
trident-operator,1,"TridentOrchestrator"
gitlab-runner-operator,1,"Runner"
gitlab-runner-operator,1,"Runner"
deeploy,1,"InferenceGraph"
deeploy,1,"InferenceGraph"
kube-auto-puller,1,"ImageCache"
kube-auto-puller,1,"ImageCache"
application-crds,1,"Application"
application-crds,1,"Application"
stash-crds,7,"BackupBatch,BackupBlueprint,BackupConfiguration,BackupSession,Repository,RestoreBatch,RestoreSession"
stash-crds,7,"BackupBatch,BackupBlueprint,BackupConfiguration,BackupSession,Repository,RestoreBatch,RestoreSession"
mpi-operator,1,"MPIJob"
mpi-operator,1,"MPIJob"
redis-db-assignment-operator,1,"RedisDatabase"
redis-db-assignment-operator,1,"RedisDatabase"
hawkbit-operator,1,"Hawkbit"
hawkbit-operator,1,"Hawkbit"
hpe-csi-driver,11,"HPENodeInfo,HPEReplicationDeviceInfo,HPEVolumeGroupInfo,HPEVolumeInfo,HPESnapshotGroupInfo,SnapshotGroupClass,SnapshotGroupContent,SnapshotGroup,VolumeGroupClass,VolumeGroupContent,VolumeGroup"
hpe-csi-driver,11,"HPENodeInfo,HPEReplicationDeviceInfo,HPEVolumeGroupInfo,HPEVolumeInfo,HPESnapshotGroupInfo,SnapshotGroupClass,SnapshotGroupContent,SnapshotGroup,VolumeGroupClass,VolumeGroupContent,VolumeGroup"
kong-mesh,7,"MeshOPA,AccessRole,AccessRoleBinding,MeshGlobalRateLimit,OPAPolicy,AccessAudit,MeshGatewayConfig"
kong-mesh,7,"MeshOPA,AccessRole,AccessRoleBinding,MeshGlobalRateLimit,OPAPolicy,AccessAudit,MeshGatewayConfig"
sql-operator,4,"SqlDatabase,SqlGrant,SqlHost,SqlUser"
sql-operator,4,"SqlDatabase,SqlGrant,SqlHost,SqlUser"
kubevault,15,"AWSRole,AzureRole,ElasticsearchRole,GCPRole,MariaDBRole,MongoDBRole,MySQLRole,PostgresRole,RedisRole,SecretAccessRequest,SecretEngine,SecretRoleBinding,VaultOpsRequest,VaultPolicy,VaultPolicyBinding"
kubevault,15,"AWSRole,AzureRole,ElasticsearchRole,GCPRole,MariaDBRole,MongoDBRole,MySQLRole,PostgresRole,RedisRole,SecretAccessRequest,SecretEngine,SecretRoleBinding,VaultOpsRequest,VaultPolicy,VaultPolicyBinding"
kom-operator,1,"Microservice"
kom-operator,1,"Microservice"
solr-operator,3,"SolrBackup,SolrCloud,SolrPrometheusExporter"
solr-operator,3,"SolrBackup,SolrCloud,SolrPrometheusExporter"
heist,9,"VaultBinding,VaultCertificateAuthority,VaultCertificateRole,VaultClientConfig,VaultKVSecretEngine,VaultKVSecret,VaultSyncSecret,VaultTransitEngine,VaultTransitKey"
heist,9,"VaultBinding,VaultCertificateAuthority,VaultCertificateRole,VaultClientConfig,VaultKVSecretEngine,VaultKVSecret,VaultSyncSecret,VaultTransitEngine,VaultTransitKey"
amd-gpu,2,"NodeFeature,NodeFeatureRule"
amd-gpu,2,"NodeFeature,NodeFeatureRule"
chaos-mesh,2,"BlockChaos,RemoteCluster"
chaos-mesh,2,"BlockChaos,RemoteCluster"
octopus,9,"NodeAction,Numatopology,AlluxioRuntime,DataBackup,DataLoad,Dataset,GooseFSRuntime,JindoRuntime,JuiceFSRuntime"
octopus,9,"NodeAction,Numatopology,AlluxioRuntime,DataBackup,DataLoad,Dataset,GooseFSRuntime,JindoRuntime,JuiceFSRuntime"
bytebuilders-crds,9,"CloudProvider,MachineType,OrgUser,Team,TeamUser,Plan,Product,EditorOption,OptionsEditor"
bytebuilders-crds,9,"CloudProvider,MachineType,OrgUser,Team,TeamUser,Plan,Product,EditorOption,OptionsEditor"
intel-device-plugins-operator,9,"DlbDevicePlugin,DsaDevicePlugin,FpgaDevicePlugin,GpuDevicePlugin,IaaDevicePlugin,QatDevicePlugin,SgxDevicePlugin,AcceleratorFunction,FpgaRegion"
intel-device-plugins-operator,9,"DlbDevicePlugin,DsaDevicePlugin,FpgaDevicePlugin,GpuDevicePlugin,IaaDevicePlugin,QatDevicePlugin,SgxDevicePlugin,AcceleratorFunction,FpgaRegion"
trivy-operator,3,"ClusterScanner,NamespaceScanner,VulnerabilityReport"
trivy-operator,3,"ClusterScanner,NamespaceScanner,VulnerabilityReport"
contour-operator,12,"Contour,ContourConfiguration,ContourDeployment,ExtensionService,Gateway,GatewayClass,HTTPProxy,HTTPRoute,TCPRoute,TLSCertificateDelegation,TLSRoute,UDPRoute"
contour-operator,12,"Contour,ContourConfiguration,ContourDeployment,ExtensionService,Gateway,GatewayClass,HTTPProxy,HTTPRoute,TCPRoute,TLSCertificateDelegation,TLSRoute,UDPRoute"
kubeapps,1,"AppRepository"
kubeapps,1,"AppRepository"
spire,3,"ClusterFederatedTrustDomain,ClusterSPIFFEID,ControllerManagerConfig"
spire,3,"ClusterFederatedTrustDomain,ClusterSPIFFEID,ControllerManagerConfig"
kubeslice-worker,6,"ServiceExport,ServiceImport,SliceGateway,Slice,NetworkService,NetworkServiceEndpoint"
kubeslice-worker,6,"ServiceExport,ServiceImport,SliceGateway,Slice,NetworkService,NetworkServiceEndpoint"
sitewhere-infrastructure,24,"SiteWhereInstance,SiteWhereMicroservice,SiteWhereTenantEngine,SiteWhereTenant,InstanceConfigurationTemplate,TenantConfigurationTemplate,TenantEngineConfigurationTemplate,InstanceDatasetTemplate,TenantDatasetTemplate,TenantEngineDatasetTemplate,SiteWhereScriptCategory,SiteWhereScriptTemplate,SiteWhereScript,SiteWhereScriptVersion,Kafka,KafkaConnect,KafkaConnectS2I,KafkaTopic,KafkaUser,KafkaMirrorMaker,KafkaBridge,KafkaConnector,KafkaMirrorMaker2,KafkaRebalance"
sitewhere-infrastructure,24,"SiteWhereInstance,SiteWhereMicroservice,SiteWhereTenantEngine,SiteWhereTenant,InstanceConfigurationTemplate,TenantConfigurationTemplate,TenantEngineConfigurationTemplate,InstanceDatasetTemplate,TenantDatasetTemplate,TenantEngineDatasetTemplate,SiteWhereScriptCategory,SiteWhereScriptTemplate,SiteWhereScript,SiteWhereScriptVersion,Kafka,KafkaConnect,KafkaConnectS2I,KafkaTopic,KafkaUser,KafkaMirrorMaker,KafkaBridge,KafkaConnector,KafkaMirrorMaker2,KafkaRebalance"
gotway,1,"IngressHTTP"
gotway,1,"IngressHTTP"
reaper-operator,1,"Reaper"
reaper-operator,1,"Reaper"
kubeteach-core,3,"ExerciseSet,TaskDefinition,Task"
kubeteach-core,3,"ExerciseSet,TaskDefinition,Task"
etcd-cluster-operator,5,"EtcdBackup,EtcdBackupSchedule,EtcdCluster,EtcdPeer,EtcdRestore"
etcd-cluster-operator,5,"EtcdBackup,EtcdBackupSchedule,EtcdCluster,EtcdPeer,EtcdRestore"
cloudbees-previews,5,"Environment,GitRepository,HierarchyConfiguration,HNCConfiguration,SubnamespaceAnchor"
cloudbees-previews,5,"Environment,GitRepository,HierarchyConfiguration,HNCConfiguration,SubnamespaceAnchor"
pg-operator,3,"PerconaPGBackup,PerconaPGCluster,PerconaPGRestore"
pg-operator,3,"PerconaPGBackup,PerconaPGCluster,PerconaPGRestore"
workshop-operator,1,"Workshop"
workshop-operator,1,"Workshop"
tenant-operator,7,"IntegrationConfig,Quota,ResourceSupervisor,TemplateGroupInstance,TemplateInstance,Template,Tenant"
tenant-operator,7,"IntegrationConfig,Quota,ResourceSupervisor,TemplateGroupInstance,TemplateInstance,Template,Tenant"
ondat-operator,1,"StorageOSCluster"
ondat-operator,1,"StorageOSCluster"
apisix-ingress-controller,7,"ApisixClusterConfig,ApisixConsumer,ApisixGlobalRule,ApisixPluginConfig,ApisixRoute,ApisixTls,ApisixUpstream"
apisix-ingress-controller,7,"ApisixClusterConfig,ApisixConsumer,ApisixGlobalRule,ApisixPluginConfig,ApisixRoute,ApisixTls,ApisixUpstream"
velero,3,"BackupRepository,DataDownload,DataUpload"
velero,3,"BackupRepository,DataDownload,DataUpload"
namespace-configuration-operator,3,"GroupConfig,NamespaceConfig,UserConfig"
namespace-configuration-operator,3,"GroupConfig,NamespaceConfig,UserConfig"
cluster-registry,3,"ClusterFeature,Cluster,ResourceSyncRule"
cluster-registry,3,"ClusterFeature,Cluster,ResourceSyncRule"
nirmata-venafi-adapter,1,"ImageKey"
nirmata-venafi-adapter,1,"ImageKey"
helm-controller,3,"Bucket,GitRepository,HelmChart"
helm-controller,3,"Bucket,GitRepository,HelmChart"
cluster-essentials,1,"IngressClassParams"
cluster-essentials,1,"IngressClassParams"
enterprise-operator,4,"MongoDBMulti,MongoDBMultiCluster,MongoDBUser,MongoDBOpsManager"
enterprise-operator,4,"MongoDBMulti,MongoDBMultiCluster,MongoDBUser,MongoDBOpsManager"
jira-service-desk-operator,2,"Customer,Project"
jira-service-desk-operator,2,"Customer,Project"
clusternet-agent,2,"ServiceExport,ServiceImport"
clusternet-agent,2,"ServiceExport,ServiceImport"
community-operator-v2,6,"Announcement,Community,Meetup,TelegramHandler,TwitterHandler,Weekly"
community-operator-v2,6,"Announcement,Community,Meetup,TelegramHandler,TwitterHandler,Weekly"
accurate,1,"SubNamespace"
accurate,1,"SubNamespace"
cni-hostnic,4,"IPAMBlock,IPAMHandle,IPPool,VxNetPool"
cni-hostnic,4,"IPAMBlock,IPAMHandle,IPPool,VxNetPool"
kube-azure,1,"ChaosExperiment"
kube-azure,1,"ChaosExperiment"
apisix-ingress-controller,5,"ApisixClusterConfig,ApisixConsumer,ApisixRoute,ApisixTls,ApisixUpstream"
apisix-ingress-controller,5,"ApisixClusterConfig,ApisixConsumer,ApisixRoute,ApisixTls,ApisixUpstream"
apache-shardingsphere-operator-charts,6,"Chaos,ComputeNode,ShardingSphereProxy,ShardingSphereProxyServerConfig,StorageNode,StorageProvider"
apache-shardingsphere-operator-charts,6,"Chaos,ComputeNode,ShardingSphereProxy,ShardingSphereProxyServerConfig,StorageNode,StorageProvider"
fluentbit-operator,6,"Filter,FluentBit,FluentBitConfig,Input,Output,Parser"
fluentbit-operator,6,"Filter,FluentBit,FluentBitConfig,Input,Output,Parser"
openebs,24,"BlockDevice,BlockDeviceClaim,ZFSBackup,ZFSNode,ZFSRestore,ZFSSnapshot,ZFSVolume,CStorBackup,CStorCompletedBackup,CStorPoolCluster,CStorPoolInstance,CStorRestore,CStorVolume,CStorVolumeAttachment,CStorVolumeConfig,CStorVolumePolicy,CStorVolumeReplica,MigrationTask,UpgradeTask,JivaVolumePolicy,JivaVolume,LVMNode,LVMSnapshot,LVMVolume"
openebs,24,"BlockDevice,BlockDeviceClaim,ZFSBackup,ZFSNode,ZFSRestore,ZFSSnapshot,ZFSVolume,CStorBackup,CStorCompletedBackup,CStorPoolCluster,CStorPoolInstance,CStorRestore,CStorVolume,CStorVolumeAttachment,CStorVolumeConfig,CStorVolumePolicy,CStorVolumeReplica,MigrationTask,UpgradeTask,JivaVolumePolicy,JivaVolume,LVMNode,LVMSnapshot,LVMVolume"
slack-operator,1,"Channel"
slack-operator,1,"Channel"
odpi-egeria-lab,1,"KafkaNodePool"
odpi-egeria-lab,1,"KafkaNodePool"
rollout,4,"AnalysisTemplate,Experiment,AnalysisRun,Rollout"
rollout,4,"AnalysisTemplate,Experiment,AnalysisRun,Rollout"
ndb-operator,1,"NdbCluster"
ndb-operator,1,"NdbCluster"
fluentd-operator,1,"FluentdConfig"
fluentd-operator,1,"FluentdConfig"
ingress-azure,2,"AzureApplicationGatewayRewrite,AzureIngressProhibitedTarget"
ingress-azure,2,"AzureApplicationGatewayRewrite,AzureIngressProhibitedTarget"
keycloak-operator,5,"KeycloakBackup,KeycloakClient,KeycloakRealm,Keycloak,KeycloakUser"
keycloak-operator,5,"KeycloakBackup,KeycloakClient,KeycloakRealm,Keycloak,KeycloakUser"
saferwall,16,"CouchbaseAutoscaler,CouchbaseBackupRestore,CouchbaseBackup,CouchbaseBucket,CouchbaseCluster,CouchbaseCollectionGroup,CouchbaseCollection,CouchbaseEphemeralBucket,CouchbaseGroup,CouchbaseMemcachedBucket,CouchbaseMigrationReplication,CouchbaseReplication,CouchbaseRoleBinding,CouchbaseScopeGroup,CouchbaseScope,CouchbaseUser"
saferwall,16,"CouchbaseAutoscaler,CouchbaseBackupRestore,CouchbaseBackup,CouchbaseBucket,CouchbaseCluster,CouchbaseCollectionGroup,CouchbaseCollection,CouchbaseEphemeralBucket,CouchbaseGroup,CouchbaseMemcachedBucket,CouchbaseMigrationReplication,CouchbaseReplication,CouchbaseRoleBinding,CouchbaseScopeGroup,CouchbaseScope,CouchbaseUser"
aks-appgw-fe,4,"AzureAssignedIdentity,AzureIdentity,AzureIdentityBinding,AzurePodIdentityException"
aks-appgw-fe,4,"AzureAssignedIdentity,AzureIdentity,AzureIdentityBinding,AzurePodIdentityException"
sasquatch,1,"StrimziSchemaRegistry"
sasquatch,1,"StrimziSchemaRegistry"
ks-installer,1,"ClusterConfiguration"
ks-installer,1,"ClusterConfiguration"
purelb,2,"LBNodeAgent,ServiceGroup"
purelb,2,"LBNodeAgent,ServiceGroup"
kiali-operator,1,"Kiali"
kiali-operator,1,"Kiali"
kubefed,17,"FederatedClusterRole,FederatedConfigMap,FederatedDeployment,FederatedIngress,FederatedJob,FederatedNamespace,FederatedReplicaSet,FederatedSecret,FederatedServiceAccount,FederatedService,ClusterPropagatedVersion,FederatedServiceStatus,FederatedTypeConfig,KubeFedCluster,KubeFedConfig,PropagatedVersion,ReplicaSchedulingPreference"
kubefed,17,"FederatedClusterRole,FederatedConfigMap,FederatedDeployment,FederatedIngress,FederatedJob,FederatedNamespace,FederatedReplicaSet,FederatedSecret,FederatedServiceAccount,FederatedService,ClusterPropagatedVersion,FederatedServiceStatus,FederatedTypeConfig,KubeFedCluster,KubeFedConfig,PropagatedVersion,ReplicaSchedulingPreference"
nri-bundle,9,"CatalogSource,ClusterServiceVersion,InstallPlan,OLMConfig,OperatorCondition,OperatorGroup,Operator,Subscription,Vizier"
nri-bundle,9,"CatalogSource,ClusterServiceVersion,InstallPlan,OLMConfig,OperatorCondition,OperatorGroup,Operator,Subscription,Vizier"
pg-db,5,"Pgcluster,PerconaPGCluster,Pgtask,Pgreplica,Pgpolicy"
pg-db,5,"Pgcluster,PerconaPGCluster,Pgtask,Pgreplica,Pgpolicy"
paddlecloud,4,"PaddleJob,SampleJob,SampleSet,PaddleService"
paddlecloud,4,"PaddleJob,SampleJob,SampleSet,PaddleService"
porter,3,"BgpConf,BgpPeer,Eip"
porter,3,"BgpConf,BgpPeer,Eip"
gafaelfawr,1,"GafaelfawrServiceToken"
gafaelfawr,1,"GafaelfawrServiceToken"
kommander,27,"FederatedAddon,FederatedClusterAddon,FederatedClusterRoleBinding,FederatedCustomResourceDefinition,FederatedLimitRange,FederatedNetworkPolicy,FederatedResourceQuota,FederatedRoleBinding,FederatedRole,KommanderClusterDiagnosis,KommanderCluster,KommanderProjectRole,KommanderWorkspaceRole,ProjectRole,Project,VirtualGroupClusterRoleBinding,VirtualGroupKommanderClusterRoleBinding,VirtualGroupKommanderProjectRoleBinding,VirtualGroupKommanderWorkspaceRoleBinding,VirtualGroupProjectRoleBinding,VirtualGroup,VirtualGroupWorkspaceRoleBinding,WorkspaceRole,Workspace,TunnelConnector,TunnelGateway,License"
kommander,27,"FederatedAddon,FederatedClusterAddon,FederatedClusterRoleBinding,FederatedCustomResourceDefinition,FederatedLimitRange,FederatedNetworkPolicy,FederatedResourceQuota,FederatedRoleBinding,FederatedRole,KommanderClusterDiagnosis,KommanderCluster,KommanderProjectRole,KommanderWorkspaceRole,ProjectRole,Project,VirtualGroupClusterRoleBinding,VirtualGroupKommanderClusterRoleBinding,VirtualGroupKommanderProjectRoleBinding,VirtualGroupKommanderWorkspaceRoleBinding,VirtualGroupProjectRoleBinding,VirtualGroup,VirtualGroupWorkspaceRoleBinding,WorkspaceRole,Workspace,TunnelConnector,TunnelGateway,License"
reporting-legacy-api,1,"MojaloopReport"
reporting-legacy-api,1,"MojaloopReport"
security-role-perm-operator-svc,2,"MojaloopPermissionExclusions,MojaloopRole"
security-role-perm-operator-svc,2,"MojaloopPermissionExclusions,MojaloopRole"
litmus-core,2,"ChaosEngine,ChaosResult"
litmus-core,2,"ChaosEngine,ChaosResult"
backend,1,"Rule"
backend,1,"Rule"
hybridnet,8,"RemoteCluster,RemoteEndpointSlice,RemoteSubnet,RemoteVtep,IPInstance,Network,NodeInfo,Subnet"
hybridnet,8,"RemoteCluster,RemoteEndpointSlice,RemoteSubnet,RemoteVtep,IPInstance,Network,NodeInfo,Subnet"
flyte-deps,4,"DaskAutoscaler,DaskCluster,DaskJob,DaskWorkerGroup"
flyte-deps,4,"DaskAutoscaler,DaskCluster,DaskJob,DaskWorkerGroup"
contrail-analytics,32,"HelmRelease,Alert,PrometheusK8sCluster,MetricGroup,AnalyticDeployment,AuthService,ConsulResolver,DevPortal,Host,KubernetesEndpointResolver,KubernetesServiceResolver,Listener,LogService,Mapping,Module,RateLimitService,TCPMapping,TLSContext,TracingService,AdvancedCronJob,BroadcastJob,CloneSet,ContainerRecreateRequest,DaemonSet,ImagePullJob,NodeImage,ResourceDistribution,SidecarSet,StatefulSet,UnitedDeployment,WorkloadSpread,PodUnavailableBudget"
contrail-analytics,32,"HelmRelease,Alert,PrometheusK8sCluster,MetricGroup,AnalyticDeployment,AuthService,ConsulResolver,DevPortal,Host,KubernetesEndpointResolver,KubernetesServiceResolver,Listener,LogService,Mapping,Module,RateLimitService,TCPMapping,TLSContext,TracingService,AdvancedCronJob,BroadcastJob,CloneSet,ContainerRecreateRequest,DaemonSet,ImagePullJob,NodeImage,ResourceDistribution,SidecarSet,StatefulSet,UnitedDeployment,WorkloadSpread,PodUnavailableBudget"
inlets-operator,1,"Tunnel"
inlets-operator,1,"Tunnel"
starboard-app,8,"CISKubeBenchReport,ClusterComplianceDetailReport,ClusterComplianceReport,ClusterConfigAuditReport,ClusterVulnerabilityReport,ConfigAuditReport,KubeHunterReport,VulnerabilityReport"
starboard-app,8,"CISKubeBenchReport,ClusterComplianceDetailReport,ClusterComplianceReport,ClusterConfigAuditReport,ClusterVulnerabilityReport,ConfigAuditReport,KubeHunterReport,VulnerabilityReport"
ambassador,19,"Filter,FilterPolicy,AuthService,ConsulResolver,DevPortal,Host,KubernetesEndpointResolver,KubernetesServiceResolver,LogService,Mapping,Module,RateLimitService,TCPMapping,TLSContext,TracingService,Project,ProjectController,ProjectRevision,RateLimit"
ambassador,19,"Filter,FilterPolicy,AuthService,ConsulResolver,DevPortal,Host,KubernetesEndpointResolver,KubernetesServiceResolver,LogService,Mapping,Module,RateLimitService,TCPMapping,TLSContext,TracingService,Project,ProjectController,ProjectRevision,RateLimit"
forecastle,1,"ForecastleApp"
forecastle,1,"ForecastleApp"
dapr,5,"Component,Configuration,HTTPEndpoint,Resiliency,Subscription"
dapr,5,"Component,Configuration,HTTPEndpoint,Resiliency,Subscription"
minio-operator,1,"Tenant"
minio-operator,1,"Tenant"
operator-crds,16,"NameDateSuffix,UniqueId,Platform,BatchApplicationModel,BatchApplication,BatchPunchlineModel,BatchPunchline,Flinkline,Sparkline,SparkPunchlineModel,SparkPunchline,StreamApplication,StreamPunchline,Diagram,Plan,WorkloadPriorityQueue"
operator-crds,16,"NameDateSuffix,UniqueId,Platform,BatchApplicationModel,BatchApplication,BatchPunchlineModel,BatchPunchline,Flinkline,Sparkline,SparkPunchlineModel,SparkPunchline,StreamApplication,StreamPunchline,Diagram,Plan,WorkloadPriorityQueue"
winter-soldier,1,"Hibernator"
winter-soldier,1,"Hibernator"
stream,1,"Lease"
stream,1,"Lease"
service-binding-operator,4,"BindableKinds,ClusterWorkloadResourceMapping,ServiceBinding,ServiceBinding"
service-binding-operator,4,"BindableKinds,ClusterWorkloadResourceMapping,ServiceBinding,ServiceBinding"
imagepullsecrets,1,"ImagePullSecret"
imagepullsecrets,1,"ImagePullSecret"
moon2,5,"BrowserSet,Config,DeviceSet,License,Quota"
moon2,5,"BrowserSet,Config,DeviceSet,License,Quota"
galoy,1,"OAuth2Client"
galoy,1,"OAuth2Client"
kamaji,2,"DataStore,TenantControlPlane"
kamaji,2,"DataStore,TenantControlPlane"
aws-api-gateway-operator,1,"AWSAPIGateway"
aws-api-gateway-operator,1,"AWSAPIGateway"
kiae,7,"Build,Builder,ClusterBuilder,ClusterStack,ClusterStore,SourceResolver,Image"
kiae,7,"Build,Builder,ClusterBuilder,ClusterStack,ClusterStore,SourceResolver,Image"
uffizzi-controller,8,"ImageUpdateAutomation,ImagePolicy,ImageRepository,Kustomization,Alert,Provider,Receiver,OCIRepository"
uffizzi-controller,8,"ImageUpdateAutomation,ImagePolicy,ImageRepository,Kustomization,Alert,Provider,Receiver,OCIRepository"
cloudflare-tunnel-operator,1,"CloudflareTunnel"
cloudflare-tunnel-operator,1,"CloudflareTunnel"
ps-operator,3,"PerconaServerMySQLBackup,PerconaServerMySQLRestore,PerconaServerMySQL"
ps-operator,3,"PerconaServerMySQLBackup,PerconaServerMySQLRestore,PerconaServerMySQL"
trivy-operator,6,"ClusterInfraAssessmentReport,ClusterRbacAssessmentReport,ExposedSecretReport,InfraAssessmentReport,RbacAssessmentReport,SbomReport"
trivy-operator,6,"ClusterInfraAssessmentReport,ClusterRbacAssessmentReport,ExposedSecretReport,InfraAssessmentReport,RbacAssessmentReport,SbomReport"
k8sdb-controller,4,"MongoDBDatabase,MongoDBUser,PostgreSQLDatabase,PostgreSQLUser"
k8sdb-controller,4,"MongoDBDatabase,MongoDBUser,PostgreSQLDatabase,PostgreSQLUser"
k8skeycloak-controller,1,"KeycloakRealm"
k8skeycloak-controller,1,"KeycloakRealm"
k8soauth2-proxy-controller,1,"OAUTH2Proxy"
k8soauth2-proxy-controller,1,"OAUTH2Proxy"
k8sprom-patch-controller,1,"PrometheusPatchRule"
k8sprom-patch-controller,1,"PrometheusPatchRule"
silly-helm,1,"Silly"
silly-helm,1,"Silly"
k8svault-controller,2,"VaultBinding,VaultMirror"
k8svault-controller,2,"VaultBinding,VaultMirror"
hivemq-operator,1,"HiveMQCluster"
hivemq-operator,1,"HiveMQCluster"
meshery,2,"Broker,MeshSync"
meshery,2,"Broker,MeshSync"
daskhub,1,"DaskCluster"
daskhub,1,"DaskCluster"
karpenter,2,"AWSNodeTemplate,Provisioner"
karpenter,2,"AWSNodeTemplate,Provisioner"
chaosblade-operator,1,"ChaosBlade"
chaosblade-operator,1,"ChaosBlade"
ingressmonitorcontroller,1,"EndpointMonitor"
ingressmonitorcontroller,1,"EndpointMonitor"
flagger,3,"Canary,MetricTemplate,AlertProvider"
flagger,3,"Canary,MetricTemplate,AlertProvider"
istio-ratelimit-operator,5,"GlobalRateLimitConfig,GlobalRateLimit,RateLimitService,LocalRateLimitConfig,LocalRateLimit"
istio-ratelimit-operator,5,"GlobalRateLimitConfig,GlobalRateLimit,RateLimitService,LocalRateLimitConfig,LocalRateLimit"
horizon-issuer,2,"ClusterIssuer,Issuer"
horizon-issuer,2,"ClusterIssuer,Issuer"
stackgres-operator,14,"SGBackup,SGBackupConfig,SGCluster,SGConfig,SGDbOps,SGDistributedLogs,SGInstanceProfile,SGObjectStorage,SGPoolingConfig,SGPostgresConfig,SGScript,SGShardedBackup,SGShardedCluster,SGShardedDbOps"
stackgres-operator,14,"SGBackup,SGBackupConfig,SGCluster,SGConfig,SGDbOps,SGDistributedLogs,SGInstanceProfile,SGObjectStorage,SGPoolingConfig,SGPostgresConfig,SGScript,SGShardedBackup,SGShardedCluster,SGShardedDbOps"
frinx-machine,8,"ArangoJob,ArangoBackup,ArangoBackupPolicy,ArangoClusterSynchronization,ArangoDeployment,ArangoMember,ArangoTask,ArangoDeploymentReplication"
frinx-machine,8,"ArangoJob,ArangoBackup,ArangoBackupPolicy,ArangoClusterSynchronization,ArangoDeployment,ArangoMember,ArangoTask,ArangoDeploymentReplication"
devtron-operator,1,"Installer"
devtron-operator,1,"Installer"
gpu-operator,2,"ClusterPolicy,NVIDIADriver"
gpu-operator,2,"ClusterPolicy,NVIDIADriver"
postgres-with-operator,1,"Kubegres"
postgres-with-operator,1,"Kubegres"
aws-vpc-cni,2,"ENIConfig,PolicyEndpoint"
aws-vpc-cni,2,"ENIConfig,PolicyEndpoint"
sloth,1,"PrometheusServiceLevel"
sloth,1,"PrometheusServiceLevel"
ks-core,39,"ApplicationClass,ApplicationResource,Application,Rule,Webhook,Cluster,APIService,JSBundle,ReverseProxy,IngressClassScope,BuiltinRole,Category,ClusterRoleBinding,ClusterRole,GlobalRoleBinding,GlobalRole,GroupBinding,Group,LoginRecord,RoleBinding,Role,RoleTemplate,User,WorkspaceRoleBinding,WorkspaceRole,Category,Extension,ExtensionVersion,InstallPlan,Repository,ServiceAccount,Subscription,OAuthClient,ResourceQuota,ProvisionerCapability,StorageClassCapability,ClusterInfo,Workspace,WorkspaceTemplate"
ks-core,39,"ApplicationClass,ApplicationResource,Application,Rule,Webhook,Cluster,APIService,JSBundle,ReverseProxy,IngressClassScope,BuiltinRole,Category,ClusterRoleBinding,ClusterRole,GlobalRoleBinding,GlobalRole,GroupBinding,Group,LoginRecord,RoleBinding,Role,RoleTemplate,User,WorkspaceRoleBinding,WorkspaceRole,Category,Extension,ExtensionVersion,InstallPlan,Repository,ServiceAccount,Subscription,OAuthClient,ResourceQuota,ProvisionerCapability,StorageClassCapability,ClusterInfo,Workspace,WorkspaceTemplate"
appmesh-controller,7,"BackendGroup,GatewayRoute,Mesh,VirtualGateway,VirtualNode,VirtualRouter,VirtualService"
appmesh-controller,7,"BackendGroup,GatewayRoute,Mesh,VirtualGateway,VirtualNode,VirtualRouter,VirtualService"
kyverno-monitor,1,"KyvernoMonitor"
kyverno-monitor,1,"KyvernoMonitor"
openfaas,3,"JwtIssuer,Policy,Role"
openfaas,3,"JwtIssuer,Policy,Role"
fmtok8s-conference-chart,4,"GrafanaDashboard,GrafanaDataSource,GrafanaNotificationChannel,Grafana"
fmtok8s-conference-chart,4,"GrafanaDashboard,GrafanaDataSource,GrafanaNotificationChannel,Grafana"
aws-node-termination-handler-2,1,"Terminator"
aws-node-termination-handler-2,1,"Terminator"
clustersecret,1,"ClusterSecret"
clustersecret,1,"ClusterSecret"
operator,9,"CascadingRule,ClusterParseDefinition,ClusterScanCompletionHook,ClusterScanType,ParseDefinition,ScanCompletionHook,Scan,ScanType,ScheduledScan"
